,TotalPop,VaxRate,HouseholdswithElderlyNo,HouseholdswithElderlyYes,HouseholdswithChildrenNo,HouseholdswithChildrenYes,IncomeGroups0tolessthan10000,IncomeGroups10000lessthan20000,IncomeGroups20000lessthan30000,IncomeGroups30000lessthan40000,IncomeGroups40000lessthan50000,IncomeGroups50000ormore,PercentofPovertyLevel1Incomeatorbelow100percentHHSPG,PercentofPovertyLevel2Income101percent150percentHHSPG,PercentofPovertyLevel3Income151percent200percentHHSPG,PercentofPovertyLevel4Income201percentHHSPGormore,LowtoModerateIncomeLMIGroupGroup1VeryLowIncome,LowtoModerateIncomeLMIGroupGroup2LowIncome,LowtoModerateIncomeLMIGroupGroup3ModerateIncome,LowtoModerateIncomeLMIGroupNonLMIHousehold,HousingUnitType1SingleFamilyAttached,HousingUnitType2SingleFamilyDetached,HousingUnitType3SmallMultiFamily24units,HousingUnitType4ModerateMultiFamily550units,HousingUnitType5LargeMultiFamily50ormoreunits,HousingUnitType6MobileHomesOther,EducationLevel1LessthanHighSchoolDiploma,EducationLevel2HighSchoolDiploma,EducationLevel3SomeCollege,EducationLevel4Associates,EducationLevel5Bachelors,EducationLevel6GraduateDegree,HeadofHouseholdAge3039,HeadofHouseholdAge4049,HeadofHouseholdAge5059,HeadofHouseholdAge6069,HeadofHouseholdAge70ormore,HeadofHouseholdAgelessthan30,RaceEthnicityAsian,RaceEthnicityAfricanAmerican,RaceEthnicityHispanic,RaceEthnicityOther,RaceEthnicityWhite
0,305506,0.672,4142,2934,5458,1618,374,584,626,606,562,4324,640,436,456,5544,896,792,1152,4236,290,4124,1450,792,330,90,478,1574,1228,814,1554,1428,984,1164,1554,1380,1282,712,272,602,210,128,5864
1,1418207,0.614,14442,8836,14960,8318,3606,3732,2634,2404,1840,9062,6372,2838,2338,11730,8208,3870,4004,7196,1442,1720,4336,7824,7884,72,5966,5826,4440,1754,3174,2118,3946,4716,5024,3858,3648,2086,922,6916,11292,404,3744
2,330033,0.5505,5834,5616,8732,2718,786,1474,1342,1220,1098,5530,1446,1232,1126,7646,2200,1964,1538,5748,144,7852,1260,746,156,1292,1178,3692,2218,1480,1610,1272,1326,1662,2550,2530,2646,736,164,212,200,122,10752
3,122208,0.4445,3790,3288,5156,1922,462,932,896,880,754,3154,922,856,802,4498,1406,1428,1008,3236,52,5324,586,258,28,830,706,2724,1352,870,768,658,890,1060,1582,1482,1518,546,34,28,34,192,6790
4,537104,0.602,9460,7046,12010,4496,1146,1696,1630,1588,1390,9056,1894,1394,1436,11782,2706,2460,2126,9214,600,11442,1716,1600,596,552,1356,4172,3198,1990,3160,2630,2120,2710,3780,3312,3144,1440,344,1158,412,248,14344
5,126903,0.53,2654,2348,3806,1196,332,682,610,598,542,2238,640,618,560,3184,980,1000,672,2350,68,3754,570,202,40,368,504,1740,980,694,604,480,600,710,1200,1054,1130,308,22,50,156,42,4732
6,171808,0.66975,3158,3042,4696,1504,432,704,674,622,656,3112,762,560,558,4320,1092,990,866,3252,104,4504,444,310,68,770,620,2098,1228,666,826,762,686,948,1416,1418,1366,366,28,30,44,112,5986
7,106649,0.623,1702,1900,2784,818,184,364,338,356,290,2070,352,286,324,2640,520,542,420,2120,58,2764,314,150,48,268,318,972,720,418,572,602,350,558,826,862,860,146,32,74,70,42,3384
8,294218,0.626,3802,3144,4984,1962,268,484,524,514,444,4712,498,384,418,5646,718,728,1124,4376,384,4792,756,648,166,200,458,1606,1342,680,1468,1392,800,1286,1716,1470,1338,336,194,458,470,98,5726
9,918702,0.625,12548,9398,16490,5456,1672,2358,2324,2182,1894,11516,2686,1904,1954,15402,3838,3310,2814,11984,686,14078,4478,1668,724,312,1884,5734,4288,2614,3972,3454,2818,3550,4826,4098,4618,2036,438,2424,780,374,17930
