FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,CIFSN,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,COUSUB,COUSUBCC,COUSUBNS,SUBMCD,SUBMCDCC,SUBMCDNS,ESTATE,ESTATECC,ESTATENS,CONCIT,CONCITCC,CONCITNS,PLACE,PLACECC,PLACENS,TRACT,BLKGRP,BLOCK,AIANHH,AIHHTLI,AIANHHFP,AIANHHCC,AIANHHNS,AITS,AITSFP,AITSCC,AITSNS,TTRACT,TBLKGRP,ANRC,ANRCCC,ANRCNS,CBSA,MEMI,CSA,METDIV,NECTA,NMEMI,CNECTA,NECTADIV,CBSAPCI,NECTAPCI,UA,UATYPE,UR,CD116,CD118,CD119,CD120,CD121,SLDU18,SLDU22,SLDU24,SLDU26,SLDU28,SLDL18,SLDL22,SLDL24,SLDL26,SLDL28,VTD,VTDI,ZCTA,SDELM,SDSEC,SDUNI,PUMA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,GCUNI,POP100,HU100,INTPTLAT,INTPTLON,LSADC,PARTFLAG,UGA,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073
PLST,NY,50,0,0,0,3,2,0500000US36001,36001,1,2,36,1779796,1,H1,974099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10580,1,104,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1354273421,26971925,Albany,Albany County,A,,314848,146131,42.5882401,-73.9740095,6,,,314848,293076,215496,43206,845,24473,183,8873,21772,20193,4611,2945,2493,70,7332,561,193,37,1633,25,3,97,54,94,45,1410,525,126,16,355,26,4,172,54,42,5,9,0,37,0,13,9,8,7,2,0,143,27,16,84,0,2,6,2,1,0,0,0,1,0,0,4,24,20,4,0,0,0,0,2,2,314848,21595,293253,278406,210895,40667,494,24363,166,1821,14847,13967,4100,2792,2427,65,3008,503,181,37,689,22,2,4,49,75,13,807,424,110,14,105,26,4,14,47,18,0,6,0,12,0,11,4,5,7,0,0,60,27,14,14,0,1,0,2,1,0,0,0,1,0,0,0,13,9,4,0,0,0,0,0,0
PLST,NY,50,0,0,0,3,3,0500000US36003,36003,1,2,36,1779796,3,H1,974100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,9,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2666225086,12989848,Allegany,Allegany County,A,,46456,23454,42.2478532,-78.0261531,6,,,46456,44541,42555,829,91,379,9,678,1915,1824,220,693,138,17,661,12,8,0,30,8,0,0,32,1,4,82,20,7,0,4,5,1,18,10,7,0,1,0,5,0,2,0,0,0,0,2,6,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,46456,965,45491,43824,42327,809,91,373,6,218,1667,1606,218,680,131,17,485,9,8,0,15,8,0,0,32,1,2,55,20,6,0,3,5,1,4,9,3,0,0,0,0,0,2,0,0,0,0,2,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
PLST,NY,50,0,0,0,3,4,0500000US36005,36005,1,2,36,1779796,5,H6,974101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620,1,408,35614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109224611,39362153,Bronx,Bronx County,C,,1472654,547030,40.8487111,-73.852939,6,,,1472654,1280481,207573,487118,21539,69559,1640,493052,192173,175249,12298,1667,3877,110,77946,4766,1798,478,59626,496,103,6351,382,3084,2267,13624,2698,417,36,6508,68,15,1409,66,401,75,122,23,1092,58,304,123,8,94,33,74,3030,211,26,2441,4,195,10,2,27,5,30,3,30,1,36,9,247,63,161,16,4,3,0,23,23,1472654,806463,666191,637821,130796,419393,3087,67766,457,16322,28370,25908,6796,560,3525,43,1658,3234,1502,391,5343,420,23,301,346,1570,196,2120,1021,275,28,240,28,10,8,49,62,3,88,14,60,36,117,17,7,35,3,19,285,104,15,81,4,34,0,2,3,3,13,2,6,1,13,4,53,24,29,0,0,0,0,4,4
PLST,NY,50,0,0,0,3,5,0500000US36007,36007,1,2,36,1779796,7,H1,974102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13780,1,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1827594819,25109986,Broome,Broome County,A,,198683,92569,42.1619773,-75.8302833,6,,,198683,185345,158674,12684,556,9372,84,3975,13338,12412,3053,2685,1162,70,4411,266,89,50,513,7,0,23,27,42,14,813,330,61,15,167,42,8,71,33,13,7,7,5,20,5,16,1,0,9,3,0,103,19,3,60,0,17,0,0,0,0,2,0,0,1,1,0,10,4,0,6,0,0,0,0,0,198683,10285,188398,178398,156173,11547,413,9337,64,864,10000,9473,2769,2526,1132,66,2359,226,83,36,207,7,0,5,25,31,1,493,255,53,15,48,37,1,13,28,10,4,6,0,4,5,10,1,0,0,3,0,30,17,3,3,0,6,0,0,0,0,0,0,0,1,0,0,4,3,0,1,0,0,0,0,0
PLST,NY,50,0,0,0,3,6,0500000US36009,36009,1,2,36,1779796,9,H1,974103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36460,2,160,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3388125876,36783591,Cattaraugus,Cattaraugus County,A,,77042,40152,42.2390986,-78.662332,6,,,77042,73029,68128,1043,2706,567,14,571,4013,3789,689,1547,189,12,1233,36,4,1,39,8,3,10,10,0,8,172,70,2,0,20,8,2,17,20,12,1,1,0,9,0,0,4,0,4,2,0,35,6,3,10,0,0,0,1,12,1,0,1,0,0,0,1,14,8,0,0,0,0,6,3,3,77042,1615,75427,71992,67554,996,2661,560,9,212,3435,3312,669,1509,172,12,870,32,4,1,17,8,3,2,10,0,3,109,61,2,0,7,5,0,9,16,6,0,1,0,0,0,0,2,0,0,0,0,13,6,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
PLST,NY,50,0,0,0,3,7,0500000US36011,36011,1,2,36,1779796,11,H1,974104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12180,2,532,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1791190744,445707952,Cayuga,Cayuga County,A,,76248,36660,43.0085456,-76.5745866,6,,,76248,71709,67017,2910,310,385,54,1033,4539,4317,1133,1128,197,41,1633,41,20,1,84,2,4,15,10,5,3,194,77,20,0,31,1,1,34,6,5,1,1,1,2,0,6,0,0,0,0,8,26,17,0,6,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,76248,2636,73612,69950,66313,2727,224,379,54,253,3662,3522,1073,1092,190,35,1003,41,18,1,54,2,4,0,9,0,0,136,73,13,0,22,0,1,9,6,4,0,0,1,0,0,3,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
PLST,NY,50,0,0,0,3,8,0500000US36013,36013,1,2,36,1779796,13,H1,974105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27460,2,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2746454150,1139025723,Chautauqua,Chautauqua County,A,,127657,66247,42.3042159,-79.4075949,6,,,127657,118513,109333,3354,673,818,57,4278,9144,8677,1539,1871,341,16,4535,52,15,4,217,3,0,33,12,16,23,412,157,0,6,179,5,2,36,6,0,2,2,1,6,0,0,0,7,0,2,1,49,2,7,23,12,1,0,0,3,0,0,0,0,0,1,0,4,1,0,0,0,2,1,2,2,127657,11769,115888,110659,106063,2891,497,796,49,363,5229,5034,1357,1782,331,16,1421,47,12,4,35,3,0,0,10,15,1,172,127,0,6,23,5,1,1,0,0,0,0,0,0,0,0,0,7,0,1,1,20,2,7,0,10,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2
PLST,NY,50,0,0,0,3,9,0500000US36015,36015,1,2,36,1779796,15,H1,974106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21300,1,236,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054988422,8875327,Chemung,Chemung County,A,,84148,38985,42.1486972,-76.7524712,6,,,84148,78412,70463,5315,240,1432,15,947,5736,5404,1892,1284,353,33,1649,51,9,2,111,1,3,10,1,2,3,306,140,14,3,54,18,0,56,3,5,1,2,0,0,4,0,3,0,0,0,3,22,8,0,12,2,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,1,0,0,84148,2938,81210,76435,69559,5009,198,1426,15,228,4775,4588,1786,1244,345,33,1076,37,9,0,50,0,3,2,1,0,2,181,115,14,3,26,12,0,4,0,1,1,1,0,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,1,0,0
PLST,NY,50,0,0,0,3,10,0500000US36017,36017,1,2,36,1779796,17,H1,974107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,9,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2314393901,13046917,Chenango,Chenango County,A,,47220,24210,42.4780238,-75.6022407,6,,,47220,44627,43531,357,126,245,15,353,2593,2479,311,858,110,8,1140,6,0,6,17,2,0,1,4,13,3,84,36,9,0,13,2,3,10,7,0,0,2,0,1,0,1,0,0,0,0,0,25,4,0,10,1,0,0,3,0,0,3,0,2,2,0,0,5,3,2,0,0,0,0,0,0,47220,1117,46103,43951,43153,345,93,236,15,109,2152,2079,290,843,109,8,799,2,0,6,3,2,0,0,4,13,0,59,30,8,0,13,2,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,14,4,0,2,0,0,0,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PLST,NY,50,0,0,0,3,11,0500000US36019,36019,1,2,36,1779796,19,H1,974108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38460,2,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2687763026,206582007,Clinton,Clinton County,A,,79843,37315,44.752712,-73.7056429,6,,,79843,75498,70142,3060,285,975,26,1010,4345,4142,651,1624,282,30,1381,17,13,1,67,8,3,20,15,25,5,172,56,26,5,30,7,7,20,7,4,0,1,0,0,3,2,1,0,3,0,0,24,3,2,6,0,5,0,7,1,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,0,79843,2856,76987,73493,69251,2753,238,957,24,270,3494,3380,588,1592,282,27,808,17,11,0,13,8,2,0,12,20,0,104,44,24,4,1,7,7,0,7,4,0,1,0,0,3,2,0,0,0,0,0,9,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
