Region,County,First Dose,Series Complete,Report as of
Capital Region,Albany,69,0,2020-12-14
Western New York,Allegany,0,0,2020-12-14
New York City,Bronx,2,0,2020-12-14
Southern Tier,Broome,0,0,2020-12-14
Western New York,Cattaraugus,0,0,2020-12-14
Central New York,Cayuga,0,0,2020-12-14
Western New York,Chautauqua,0,0,2020-12-14
Southern Tier,Chemung,0,0,2020-12-14
Southern Tier,Chenango,0,0,2020-12-14
North Country,Clinton,0,0,2020-12-14
Capital Region,Columbia,1,0,2020-12-14
Central New York,Cortland,0,0,2020-12-14
Southern Tier,Delaware,0,0,2020-12-14
Mid-Hudson,Dutchess,0,0,2020-12-14
Western New York,Erie,0,0,2020-12-14
North Country,Essex,0,0,2020-12-14
North Country,Franklin,0,0,2020-12-14
Mohawk Valley,Fulton,1,0,2020-12-14
Finger Lakes,Genesee,0,0,2020-12-14
Capital Region,Greene,2,0,2020-12-14
North Country,Hamilton,0,0,2020-12-14
Mohawk Valley,Herkimer,0,0,2020-12-14
North Country,Jefferson,0,0,2020-12-14
New York City,Kings,13,0,2020-12-14
North Country,Lewis,0,0,2020-12-14
Finger Lakes,Livingston,0,0,2020-12-14
Central New York,Madison,0,0,2020-12-14
Finger Lakes,Monroe,0,0,2020-12-14
Mohawk Valley,Montgomery,1,0,2020-12-14
Long Island,Nassau,1,0,2020-12-14
New York City,New York,26,0,2020-12-14
Western New York,Niagara,0,0,2020-12-14
Mohawk Valley,Oneida,0,0,2020-12-14
Central New York,Onondaga,2,0,2020-12-14
Finger Lakes,Ontario,0,0,2020-12-14
Mid-Hudson,Orange,1,0,2020-12-14
Finger Lakes,Orleans,0,0,2020-12-14
Central New York,Oswego,0,0,2020-12-14
Mohawk Valley,Otsego,0,0,2020-12-14
Mid-Hudson,Putnam,1,0,2020-12-14
New York City,Queens,3,0,2020-12-14
Capital Region,Rensselaer,12,0,2020-12-14
New York City,Richmond,4,0,2020-12-14
Mid-Hudson,Rockland,0,0,2020-12-14
Capital Region,Saratoga,21,0,2020-12-14
Capital Region,Schenectady,30,0,2020-12-14
Mohawk Valley,Schoharie,0,0,2020-12-14
Southern Tier,Schuyler,0,0,2020-12-14
Finger Lakes,Seneca,0,0,2020-12-14
North Country,St. Lawrence,0,0,2020-12-14
Southern Tier,Steuben,0,0,2020-12-14
Long Island,Suffolk,1,0,2020-12-14
Mid-Hudson,Sullivan,0,0,2020-12-14
Southern Tier,Tioga,0,0,2020-12-14
Southern Tier,Tompkins,0,0,2020-12-14
Mid-Hudson,Ulster,1,0,2020-12-14
Capital Region,Warren,0,0,2020-12-14
Capital Region,Washington,1,0,2020-12-14
Finger Lakes,Wayne,0,0,2020-12-14
Mid-Hudson,Westchester,8,0,2020-12-14
Finger Lakes,Wyoming,0,0,2020-12-14
Finger Lakes,Yates,0,0,2020-12-14
Capital Region,Albany,182,0,2020-12-15
Western New York,Allegany,0,0,2020-12-15
New York City,Bronx,49,0,2020-12-15
Southern Tier,Broome,2,0,2020-12-15
Western New York,Cattaraugus,0,0,2020-12-15
Central New York,Cayuga,0,0,2020-12-15
Western New York,Chautauqua,0,0,2020-12-15
Southern Tier,Chemung,1,0,2020-12-15
Southern Tier,Chenango,0,0,2020-12-15
North Country,Clinton,1,0,2020-12-15
Capital Region,Columbia,8,0,2020-12-15
Central New York,Cortland,0,0,2020-12-15
Southern Tier,Delaware,0,0,2020-12-15
Mid-Hudson,Dutchess,6,0,2020-12-15
Western New York,Erie,7,0,2020-12-15
North Country,Essex,1,0,2020-12-15
North Country,Franklin,0,0,2020-12-15
Mohawk Valley,Fulton,3,0,2020-12-15
Finger Lakes,Genesee,0,0,2020-12-15
Capital Region,Greene,6,0,2020-12-15
North Country,Hamilton,0,0,2020-12-15
Mohawk Valley,Herkimer,0,0,2020-12-15
North Country,Jefferson,0,0,2020-12-15
New York City,Kings,203,0,2020-12-15
North Country,Lewis,0,0,2020-12-15
Finger Lakes,Livingston,0,0,2020-12-15
Central New York,Madison,0,0,2020-12-15
Finger Lakes,Monroe,10,0,2020-12-15
Mohawk Valley,Montgomery,3,0,2020-12-15
Long Island,Nassau,98,0,2020-12-15
New York City,New York,487,1,2020-12-15
Western New York,Niagara,0,0,2020-12-15
Mohawk Valley,Oneida,0,0,2020-12-15
Central New York,Onondaga,12,0,2020-12-15
Finger Lakes,Ontario,0,0,2020-12-15
