DATA LABEL,DESCRIPTION,DATA_TYPE
Region,Capital Region,string
Region,Western New York,string
Region,New York City,string
Region,Southern Tier,string
Region,Central New York,string
Region,North Country,string
Region,Mid-Hudson,string
Region,Mohawk Valley,string
Region,Finger Lakes,string
Region,Long Island,string
County,Albany,string
County,Allegany,string
County,Bronx,string
County,Broome,string
County,Cattaraugus,string
County,Cayuga,string
County,Chautauqua,string
County,Chemung,string
County,Chenango,string
County,Clinton,string
County,Columbia,string
County,Cortland,string
County,Delaware,string
County,Dutchess,string
County,Erie,string
County,Essex,string
County,Franklin,string
County,Fulton,string
County,Genesee,string
County,Greene,string
County,Hamilton,string
County,Herkimer,string
County,Jefferson,string
County,Kings,string
County,Lewis,string
County,Livingston,string
County,Madison,string
County,Monroe,string
County,Montgomery,string
County,Nassau,string
County,New York,string
County,Niagara,string
County,Oneida,string
County,Onondaga,string
County,Ontario,string
County,Orange,string
County,Orleans,string
County,Oswego,string
County,Otsego,string
County,Putnam,string
County,Queens,string
County,Rensselaer,string
County,Richmond,string
County,Rockland,string
County,Saratoga,string
County,Schenectady,string
County,Schoharie,string
County,Schuyler,string
County,Seneca,string
County,St. Lawrence,string
County,Steuben,string
County,Suffolk,string
County,Sullivan,string
County,Tioga,string
County,Tompkins,string
County,Ulster,string
County,Warren,string
County,Washington,string
County,Wayne,string
County,Westchester,string
County,Wyoming,string
County,Yates,string
First Dose,69,integer
First Dose,182,integer
First Dose,375,integer
First Dose,457,integer
First Dose,702,integer
First Dose,787,integer
First Dose,813,integer
First Dose,881,integer
First Dose,1093,integer
First Dose,2062,integer
First Dose,2609,integer
First Dose,2671,integer
First Dose,2848,integer
First Dose,3123,integer
First Dose,3683,integer
First Dose,4216,integer
First Dose,5163,integer
First Dose,5753,integer
First Dose,5867,integer
First Dose,6332,integer
First Dose,6637,integer
First Dose,7485,integer
First Dose,7972,integer
First Dose,8909,integer
First Dose,9988,integer
First Dose,11221,integer
First Dose,11867,integer
First Dose,12236,integer
First Dose,12856,integer
First Dose,13316,integer
First Dose,14275,integer
First Dose,14890,integer
First Dose,15461,integer
First Dose,16104,integer
First Dose,16847,integer
First Dose,17894,integer
First Dose,18751,integer
First Dose,19440,integer
First Dose,20108,integer
First Dose,21348,integer
First Dose,22241,integer
First Dose,22875,integer
First Dose,23928,integer
First Dose,24459,integer
First Dose,25119,integer
First Dose,26046,integer
First Dose,27220,integer
First Dose,28295,integer
First Dose,28897,integer
First Dose,29499,integer
First Dose,29637,integer
First Dose,30792,integer
First Dose,31717,integer
First Dose,32496,integer
First Dose,33068,integer
First Dose,34034,integer
First Dose,34767,integer
First Dose,35513,integer
First Dose,36560,integer
First Dose,38280,integer
First Dose,39408,integer
First Dose,39938,integer
First Dose,40655,integer
First Dose,41343,integer
First Dose,42175,integer
First Dose,43560,integer
First Dose,44314,integer
First Dose,45073,integer
First Dose,46392,integer
First Dose,47106,integer
First Dose,47889,integer
First Dose,48714,integer
First Dose,49622,integer
First Dose,51429,integer
First Dose,53104,integer
First Dose,53984,integer
First Dose,54880,integer
First Dose,56386,integer
First Dose,57906,integer
First Dose,59202,integer
First Dose,61955,integer
First Dose,64043,integer
First Dose,66831,integer
First Dose,68686,integer
First Dose,71268,integer
First Dose,73466,integer
First Dose,75831,integer
First Dose,78125,integer
First Dose,80430,integer
First Dose,81855,integer
First Dose,83161,integer
First Dose,84991,integer
First Dose,86997,integer
First Dose,89422,integer
First Dose,92069,integer
First Dose,94329,integer
First Dose,96073,integer
First Dose,97472,integer
First Dose,99050,integer
First Dose,101156,integer
First Dose,102500,integer
First Dose,104479,integer
First Dose,106034,integer
First Dose,107087,integer
First Dose,108630,integer
First Dose,109642,integer
First Dose,110657,integer
First Dose,112674,integer
First Dose,115193,integer
First Dose,118084,integer
First Dose,119539,integer
First Dose,120678,integer
First Dose,121879,integer
First Dose,123951,integer
First Dose,126269,integer
First Dose,129676,integer
First Dose,132048,integer
First Dose,133618,integer
First Dose,135338,integer
First Dose,137345,integer
First Dose,138832,integer
First Dose,141192,integer
First Dose,142834,integer
First Dose,144304,integer
First Dose,145653,integer
First Dose,146679,integer
First Dose,147777,integer
First Dose,148998,integer
First Dose,150102,integer
First Dose,151430,integer
First Dose,152693,integer
First Dose,153604,integer
First Dose,154585,integer
First Dose,155498,integer
First Dose,156605,integer
First Dose,158304,integer
First Dose,159871,integer
First Dose,161182,integer
First Dose,161626,integer
First Dose,162084,integer
First Dose,162766,integer
First Dose,164534,integer
First Dose,165213,integer
First Dose,166216,integer
First Dose,167373,integer
First Dose,167832,integer
First Dose,168173,integer
First Dose,168826,integer
First Dose,170233,integer
First Dose,171167,integer
First Dose,172475,integer
First Dose,173623,integer
First Dose,174311,integer
First Dose,174910,integer
First Dose,175708,integer
First Dose,177182,integer
First Dose,178382,integer
First Dose,179918,integer
First Dose,180868,integer
First Dose,181589,integer
First Dose,181992,integer
First Dose,182564,integer
First Dose,183316,integer
First Dose,183909,integer
First Dose,184594,integer
First Dose,185319,integer
First Dose,185730,integer
First Dose,186063,integer
First Dose,186382,integer
First Dose,186936,integer
First Dose,187350,integer
First Dose,187741,integer
First Dose,188279,integer
First Dose,188555,integer
First Dose,188730,integer
First Dose,189003,integer
First Dose,189479,integer
First Dose,190144,integer
First Dose,190739,integer
First Dose,191303,integer
First Dose,191505,integer
First Dose,191627,integer
First Dose,192057,integer
First Dose,192386,integer
First Dose,192762,integer
First Dose,193100,integer
First Dose,193395,integer
First Dose,193604,integer
First Dose,193700,integer
First Dose,193887,integer
First Dose,194136,integer
First Dose,194417,integer
First Dose,194764,integer
First Dose,195074,integer
First Dose,195419,integer
First Dose,195531,integer
First Dose,195701,integer
First Dose,195996,integer
First Dose,196310,integer
First Dose,196538,integer
First Dose,196733,integer
First Dose,196865,integer
First Dose,196931,integer
First Dose,197549,integer
First Dose,197789,integer
First Dose,198021,integer
First Dose,198151,integer
First Dose,198396,integer
First Dose,198511,integer
First Dose,198595,integer
