,POP100,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,Series Complete,Vax_Rate
0,314848,314848,293076,215496,43206,845,24473,183,8873,21772,20193,4611,2945,2493,70,7332,561,193,37,1633,25,3,97,54,94,45,1410,525,126,16,355,26,4,172,54,42,5,9,0,37,0,13,9,8,7,2,0,143,27,16,84,0,2,6,2,1,0,0,0,1,0,0,4,24,20,4,0,0,0,0,2,2,314848,21595,293253,278406,210895,40667,494,24363,166,1821,14847,13967,4100,2792,2427,65,3008,503,181,37,689,22,2,4,49,75,13,807,424,110,14,105,26,4,14,47,18,0,6,0,12,0,11,4,5,7,0,0,60,27,14,14,0,1,0,2,1,0,0,0,1,0,0,0,13,9,4,0,0,0,0,0,0,204365,65
1,99224,99224,91331,46391,31023,436,7993,77,5411,7893,7212,2001,570,822,13,2019,442,83,25,1101,20,2,57,15,29,13,606,221,54,8,183,10,1,52,23,19,0,5,0,19,0,4,3,2,2,0,0,64,9,5,39,0,2,5,0,1,0,0,0,1,0,0,2,11,9,2,0,0,0,0,0,0,99224,11541,87683,82741,44392,29222,241,7949,66,871,4942,4588,1716,514,802,13,505,406,80,25,470,17,1,1,12,22,4,327,171,45,8,40,10,1,5,19,7,0,3,0,11,0,3,1,1,2,0,0,21,9,4,5,0,1,0,0,1,0,0,0,1,0,0,0,6,4,2,0,0,0,0,0,0,204365,100
2,1675,1675,1565,1527,14,3,13,2,6,110,102,25,22,8,0,44,2,1,0,0,0,0,0,0,0,0,7,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1675,59,1616,1539,1507,14,3,13,0,2,77,70,19,21,8,0,19,2,1,0,0,0,0,0,0,0,0,7,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204365,100
3,18147,18147,16689,14327,1507,51,423,2,379,1458,1328,408,295,108,4,395,21,11,1,79,0,0,5,0,0,1,124,71,14,0,19,2,0,11,5,1,1,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,18147,1093,17054,15960,14058,1360,35,416,2,89,1094,996,346,284,106,4,197,17,10,1,29,0,0,2,0,0,0,95,63,12,0,12,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,204365,100
4,7781,7781,7276,5891,516,10,738,0,121,505,471,98,90,40,4,198,7,9,1,17,0,0,2,1,2,2,32,15,5,0,6,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7781,319,7462,7096,5834,491,6,738,0,27,366,341,92,86,37,4,99,6,9,1,5,0,0,0,1,1,0,24,12,5,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204365,100
5,2934,2934,2644,2155,228,16,196,0,49,290,277,83,56,17,1,100,3,7,0,7,0,0,0,2,1,0,13,7,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2934,137,2797,2535,2102,211,14,195,0,13,262,255,80,56,17,1,83,3,7,0,6,0,0,0,2,0,0,7,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204365,100
6,13680,13680,12852,10026,658,27,1958,5,178,828,772,139,114,148,4,296,4,13,0,42,1,0,4,1,6,0,50,20,5,0,11,2,0,7,0,1,0,0,0,0,0,0,2,1,1,0,0,6,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13680,515,13165,12575,9921,633,17,1957,5,42,590,552,130,105,144,3,129,3,13,0,17,1,0,0,1,6,0,33,18,5,0,3,2,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204365,100
7,10296,10296,9700,8475,347,14,741,1,122,596,560,98,71,128,5,222,2,6,0,21,0,0,1,3,3,0,33,12,2,0,7,1,0,3,4,1,0,0,0,3,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10296,413,9883,9472,8372,318,9,740,1,32,411,389,90,67,120,4,85,2,6,0,10,0,0,0,2,3,0,20,9,2,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,204365,100
8,4554,4554,4297,2566,887,9,732,0,103,257,247,65,34,23,0,78,3,8,0,34,0,0,0,0,2,0,9,2,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4554,231,4323,4145,2530,849,9,730,0,27,178,172,61,27,20,0,33,1,7,0,21,0,0,0,0,2,0,5,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,204365,100
9,367,367,344,332,5,0,5,0,2,23,21,2,5,4,0,8,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,10,357,338,327,5,0,5,0,1,19,18,0,5,4,0,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204365,100
10,3271,3271,2987,2661,206,1,31,0,88,284,263,54,85,7,2,101,1,0,0,11,0,0,0,0,2,0,20,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3271,207,3064,2848,2603,188,0,29,0,28,216,205,49,82,5,2,57,1,0,0,7,0,0,0,0,2,0,10,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204365,100
11,11518,11518,10729,8289,990,30,1125,0,295,789,739,211,119,56,7,294,4,3,0,39,0,0,5,0,0,1,45,18,1,0,13,0,0,5,1,2,0,0,0,4,0,0,0,0,1,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11518,770,10748,10205,8102,925,21,1122,0,35,543,513,194,116,54,7,119,4,3,0,16,0,0,0,0,0,0,25,16,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,204365,100
12,2281,2281,2246,1984,117,3,98,0,44,35,33,10,2,14,0,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2281,219,2062,2034,1841,99,0,93,0,1,28,26,9,1,14,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204365,100
13,2841,2841,2688,2573,33,8,52,0,22,153,142,16,14,23,0,87,0,1,0,0,0,0,1,0,0,0,8,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2841,105,2736,2636,2536,33,3,50,0,14,100,95,15,13,23,0,44,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204365,100
14,10375,10375,9319,6781,1632,33,522,1,350,1056,978,358,166,60,3,310,6,3,1,59,1,0,3,1,5,2,75,29,1,1,22,1,0,8,0,4,2,1,0,1,0,3,0,1,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10375,863,9512,8712,6588,1531,10,516,1,66,800,753,322,161,60,3,171,3,3,1,25,1,0,0,1,2,0,44,23,0,1,9,1,0,1,0,3,0,1,0,1,0,3,0,1,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204365,100
15,7560,7560,7064,5182,465,7,1227,49,134,496,448,75,80,88,2,174,3,3,0,13,1,1,3,4,1,0,39,9,3,2,1,4,0,9,4,2,1,0,0,3,0,1,0,0,0,0,0,6,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,7560,348,7212,6880,5108,456,6,1226,48,36,332,309,66,73,87,2,69,1,3,0,1,1,1,0,4,1,0,20,8,3,2,0,4,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,204365,100
16,314848,314848,293076,215496,43206,845,24473,183,8873,21772,20193,4611,2945,2493,70,7332,561,193,37,1633,25,3,97,54,94,45,1410,525,126,16,355,26,4,172,54,42,5,9,0,37,0,13,9,8,7,2,0,143,27,16,84,0,2,6,2,1,0,0,0,1,0,0,4,24,20,4,0,0,0,0,2,2,314848,21595,293253,278406,210895,40667,494,24363,166,1821,14847,13967,4100,2792,2427,65,3008,503,181,37,689,22,2,4,49,75,13,807,424,110,14,105,26,4,14,47,18,0,6,0,12,0,11,4,5,7,0,0,60,27,14,14,0,1,0,2,1,0,0,0,1,0,0,0,13,9,4,0,0,0,0,0,0,204365,65
17,251304,251304,233345,162958,41303,766,20164,112,8042,17959,16625,4097,2120,2093,56,5695,538,170,34,1559,23,2,89,37,77,35,1198,470,107,11,305,18,4,126,42,38,4,7,0,34,0,9,9,7,5,2,0,117,23,15,65,0,2,5,2,1,0,0,0,1,0,0,3,17,14,3,0,0,0,0,2,2,251304,19033,232271,220124,159136,38872,435,20074,98,1509,12147,11393,3629,1999,2045,51,2197,486,164,34,664,20,1,3,32,59,9,692,379,92,10,86,18,4,11,38,16,0,4,0,12,0,8,4,5,5,0,0,52,23,13,11,0,1,0,2,1,0,0,0,1,0,0,0,10,7,3,0,0,0,0,0,0,204365,81
18,63544,63544,59731,52538,1903,79,4309,71,831,3813,3568,514,825,400,14,1637,23,23,3,74,2,1,8,17,17,10,212,55,19,5,50,8,0,46,12,4,1,2,0,3,0,4,0,1,2,0,0,26,4,1,19,0,0,1,0,0,0,0,0,0,0,0,1,7,6,1,0,0,0,0,0,0,63544,2562,60982,58282,51759,1795,59,4289,68,312,2700,2574,471,793,382,14,811,17,17,3,25,2,1,1,17,16,4,115,45,18,4,19,8,0,3,9,2,0,2,0,0,0,3,0,0,2,0,0,8,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,204365,100
19,12276,12276,11488,10910,298,15,81,0,184,788,744,115,233,28,4,329,2,4,2,15,0,0,0,1,9,2,42,18,3,0,15,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12276,496,11780,11182,10750,274,11,74,0,73,598,573,107,228,25,4,187,1,2,2,8,0,0,0,1,8,0,24,13,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204365,100
20,74855,74855,67978,33678,26014,395,4038,51,3802,6877,6301,2059,728,450,14,1663,350,72,19,855,7,2,43,14,18,7,539,263,39,6,124,7,1,44,12,11,3,5,0,13,0,5,2,2,1,1,0,32,3,2,18,0,1,4,0,1,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,74855,8447,66408,61706,32449,24477,208,4003,49,520,4702,4337,1793,684,438,14,591,324,69,19,374,6,1,2,11,10,1,351,220,34,6,40,7,1,2,12,7,0,4,0,8,0,5,2,2,1,0,0,11,3,1,6,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,204365,100
21,136803,136803,128248,102495,10980,249,10980,107,3437,8555,7955,1428,1111,1295,25,3235,162,58,13,489,15,1,31,27,34,31,510,119,49,9,156,14,3,82,28,20,2,3,0,14,0,6,2,1,2,0,0,73,16,6,47,0,1,1,0,0,0,0,0,1,0,0,1,15,12,3,0,0,0,0,2,2,136803,8538,128265,122670,100296,10327,158,10934,92,863,5595,5321,1256,1048,1268,24,1249,137,53,13,192,13,1,2,26,27,12,239,85,40,8,40,14,3,8,22,7,0,2,0,4,0,4,0,0,2,0,0,28,16,6,4,0,1,0,0,0,0,0,0,1,0,0,0,7,4,3,0,0,0,0,0,0,204365,100
22,85590,85590,80400,63547,5887,176,9340,23,1427,5190,4845,978,769,705,25,1920,46,59,3,270,2,0,22,10,32,4,309,122,32,1,60,5,0,43,10,11,0,1,0,10,0,2,5,4,2,1,0,32,7,7,16,0,0,0,2,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,85590,4004,81586,77932,62567,5563,109,9318,23,352,3654,3446,915,730,681,21,846,40,57,3,113,2,0,0,9,29,0,186,103,30,0,22,5,0,3,10,4,0,0,0,0,0,2,2,3,2,0,0,19,7,6,4,0,0,0,2,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,204365,100
23,5324,5324,4962,4866,27,10,34,2,23,362,348,31,104,15,2,185,1,0,0,4,1,0,1,2,1,1,10,3,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5324,110,5214,4916,4833,26,8,34,2,13,298,290,29,102,15,2,135,1,0,0,2,1,0,0,2,1,0,7,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204365,100
24,46456,46456,44541,42555,829,91,379,9,678,1915,1824,220,693,138,17,661,12,8,0,30,8,0,0,32,1,4,82,20,7,0,4,5,1,18,10,7,0,1,0,5,0,2,0,0,0,0,2,6,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,46456,965,45491,43824,42327,809,91,373,6,218,1667,1606,218,680,131,17,485,9,8,0,15,8,0,0,32,1,2,55,20,6,0,3,5,1,4,9,3,0,0,0,0,0,2,0,0,0,0,2,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,18673,40
25,4026,4026,3905,2836,522,11,118,5,413,121,104,11,15,19,0,19,0,5,0,11,0,0,0,24,0,0,17,4,2,0,1,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4026,372,3654,3552,2815,512,11,118,3,93,102,87,11,15,19,0,10,0,5,0,3,0,0,0,24,0,0,15,4,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18673,100
26,371,371,344,334,2,0,8,0,0,27,27,1,14,3,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,17,354,337,331,0,0,6,0,0,17,17,1,12,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18673,100
27,890,890,874,870,1,0,2,0,1,16,16,2,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,8,882,866,863,1,0,2,0,0,16,16,2,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18673,100
28,723,723,709,702,1,2,3,0,1,14,14,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723,7,716,707,701,1,2,3,0,0,9,9,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18673,100
29,745,745,717,709,2,2,1,0,3,28,27,6,14,4,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,1,744,716,709,2,2,1,0,2,28,27,6,14,4,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18673,100
30,856,856,817,797,15,2,0,0,3,39,39,2,14,2,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856,15,841,807,790,15,2,0,0,0,34,34,2,14,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18673,100
31,1010,1010,965,958,2,2,1,0,2,45,44,2,17,7,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,5,1005,961,956,2,2,1,0,0,44,44,2,17,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18673,100
32,460,460,446,442,1,2,0,0,1,14,12,0,4,3,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,460,7,453,443,439,1,2,0,0,1,10,9,0,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,18673,100
33,1517,1517,1422,1388,18,4,8,0,4,95,93,14,35,6,3,32,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1517,30,1487,1408,1379,18,4,6,0,1,79,79,14,35,6,3,18,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18673,100
34,596,596,581,578,3,0,0,0,0,15,14,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,1,595,581,578,3,0,0,0,0,14,14,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18673,100
35,1085,1085,1029,1010,6,6,4,0,3,56,53,11,21,3,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085,17,1068,1015,997,6,6,4,0,2,53,51,11,21,3,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18673,100
36,1488,1488,1458,1269,75,2,67,1,44,30,24,7,4,0,0,8,0,0,0,4,0,0,0,0,1,0,6,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1488,62,1426,1401,1257,72,2,67,0,3,25,21,7,3,0,0,6,0,0,0,4,0,0,0,0,1,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18673,100
37,401,401,388,386,0,0,2,0,0,13,13,6,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,401,388,386,0,0,2,0,0,13,13,6,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18673,100
38,351,351,341,340,0,0,0,0,1,10,10,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,5,346,337,337,0,0,0,0,0,9,9,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18673,100
39,525,525,496,489,3,0,0,0,4,29,29,2,17,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,7,518,491,486,3,0,0,0,2,27,27,2,17,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18673,100
