County,First Dose,Series Complete,Report as of
Bronx,8195,29,1/1/21
Kings,15690,64,1/1/21
New York,20138,71,1/1/21
Queens,16859,63,1/1/21
Richmond,4959,14,1/1/21
Bronx,9173,33,1/2/21
Kings,16289,66,1/2/21
New York,20924,72,1/2/21
Queens,17727,63,1/2/21
Richmond,5060,14,1/2/21
Bronx,9443,33,1/3/21
Kings,16777,69,1/3/21
New York,21849,76,1/3/21
Queens,18355,66,1/3/21
Richmond,5767,17,1/3/21
Bronx,10231,62,1/4/21
Kings,18030,172,1/4/21
New York,23402,298,1/4/21
Queens,19750,129,1/4/21
Richmond,6146,81,1/4/21
Bronx,11447,156,1/5/21
Kings,19549,407,1/5/21
New York,24806,822,1/5/21
Queens,21694,330,1/5/21
Richmond,6502,184,1/5/21
Bronx,13334,277,1/6/21
Kings,22439,786,1/6/21
New York,26741,1855,1/6/21
Queens,24452,769,1/6/21
Richmond,6910,291,1/6/21
Bronx,15335,493,1/7/21
Kings,25021,1545,1/7/21
New York,28584,3072,1/7/21
Queens,28222,1423,1/7/21
Richmond,7451,448,1/7/21
Bronx,18086,788,1/8/21
Kings,27533,2620,1/8/21
New York,31641,4223,1/8/21
Queens,32089,2156,1/8/21
Richmond,8212,630,1/8/21
Bronx,19175,908,1/9/21
Kings,29046,3129,1/9/21
New York,33723,4570,1/9/21
Queens,33839,2436,1/9/21
Richmond,8906,921,1/9/21
Bronx,20436,963,1/10/21
Kings,30519,3318,1/10/21
New York,35308,4726,1/10/21
Queens,36296,2583,1/10/21
Richmond,9300,985,1/10/21
Bronx,22373,1182,1/11/21
Kings,33987,4069,1/11/21
New York,38779,5798,1/11/21
Queens,40240,3384,1/11/21
Richmond,10417,1305,1/11/21
Bronx,24507,1693,1/12/21
Kings,37918,5035,1/12/21
New York,41996,7189,1/12/21
Queens,44309,4374,1/12/21
Richmond,11655,1808,1/12/21
Bronx,26886,2251,1/13/21
Kings,43435,5975,1/13/21
New York,47072,8762,1/13/21
Queens,49334,5482,1/13/21
Richmond,13280,2205,1/13/21
Bronx,29642,2752,1/14/21
Kings,48455,6765,1/14/21
New York,52385,9845,1/14/21
Queens,54847,6336,1/14/21
Richmond,14494,2330,1/14/21
Bronx,32687,3445,1/15/21
Kings,52458,7254,1/15/21
New York,57844,10697,1/15/21
Queens,61343,7744,1/15/21
Richmond,16147,2419,1/15/21
Bronx,35548,3882,1/16/21
Kings,58430,7581,1/16/21
New York,64495,11365,1/16/21
